"Авиационная промышленность"
"Автомобильная промышленность"
"Аддитивные технологии"
"Деревообрабатывающая промышленность"
"Кабельная промышленность"
"Легкая промышленность"
"Медицинская промышленность"
"Металлургия и металлообработка"
"Научная деятельность"
"Общее машиностроение (в т.ч. оборудование пищевой переработки, дорожногстроительная и сельскохозяйственная техника)"
"Пищевая промышленность"
"Полиграфическая деятельность"
"Производство бытовой элестроники и эектрических приборов"
"Производство ж/д транспорта"
"Производство кокса и нефтепродуктов"
"Производство напитков"
"Производство оружия, боеприпасов, спецхимии, военных машин"
"Производство прочих товаров народного потребленя"
"Производство строительных материалов"
"Радиоэлектроника и приборостроение"
"Станкоинструментальная промышленность"
"Судостроение"
"Топливно-энергетический комплекс"
"Фармацевтическая промышленность"
"Химическая промышленность"
